Year,Dis Mag Scale,Dis Mag Value,Country,Longitude,Latitude,Disaster Type
1968.0,0,47350.38030731904,89,2376,1242,5
1968.0,0,47350.38030731904,89,2376,1242,10
1968.0,1,47350.38030731904,89,2376,1242,12
1969.0,0,47350.38030731904,0,2376,1242,1
1969.0,0,47350.38030731904,20,2376,1242,1
1969.0,0,47350.38030731904,29,2376,1242,1
1969.0,0,47350.38030731904,31,2376,1242,1
1969.0,0,47350.38030731904,70,2376,1242,1
1969.0,0,47350.38030731904,82,2376,1242,1
1969.0,3,47350.38030731904,29,2376,1242,3
1969.0,3,47350.38030731904,29,2376,1242,3
1969.0,1,47350.38030731904,15,2376,1242,12
1969.0,3,47350.38030731904,23,2376,1242,3
1969.0,3,47350.38030731904,23,2376,1242,3
1969.0,0,47350.38030731904,26,2376,1242,5
1969.0,2,6.0,40,784,953,2
1969.0,0,47350.38030731904,40,2376,1242,5
1969.0,0,47350.38030731904,41,2376,1242,5
1969.0,0,47350.38030731904,46,2376,1242,5
1969.0,1,47350.38030731904,49,2376,1242,12
1969.0,0,47350.38030731904,2,2376,1242,5
1969.0,3,47350.38030731904,57,2376,1242,3
1969.0,2,6.0,63,1726,598,2
1969.0,0,47350.38030731904,63,2376,1242,1
1969.0,1,47350.38030731904,66,2376,1242,12
1969.0,1,47350.38030731904,80,2376,1242,12
1969.0,3,47350.38030731904,80,2376,1242,3
1969.0,1,47350.38030731904,86,2376,1242,12
1969.0,0,47350.38030731904,86,2376,1242,14
1969.0,0,47350.38030731904,86,2376,1242,14
1969.0,0,47350.38030731904,86,2376,1242,5
1969.0,1,47350.38030731904,85,2376,1242,12
1969.0,3,47350.38030731904,85,2376,1242,3
1969.0,2,7.0,90,875,243,2
1969.0,0,47350.38030731904,90,2376,1242,13
1969.0,1,47350.38030731904,89,2376,1242,12
1969.0,1,47350.38030731904,89,2376,1242,12
1970.0,0,47350.38030731904,7,2376,1242,5
1970.0,1,47350.38030731904,9,2376,1242,12
1970.0,0,47350.38030731904,20,2376,1242,5
1970.0,1,47350.38030731904,15,2376,1242,12
1970.0,1,47350.38030731904,15,2376,1242,12
1970.0,0,47350.38030731904,15,2376,1242,5
1970.0,1,47350.38030731904,15,2376,1242,12
1970.0,0,47350.38030731904,26,2376,1242,1
1970.0,0,47350.38030731904,26,2376,1242,5
1970.0,0,47350.38030731904,16,2376,1242,5
1970.0,0,47350.38030731904,25,2376,1242,1
1970.0,1,47350.38030731904,34,2376,1242,12
1970.0,0,47350.38030731904,193,2376,1242,10
1970.0,2,7.0,40,623,1021,2
1970.0,1,47350.38030731904,40,2376,1242,12
1970.0,3,47350.38030731904,52,2376,1242,3
1970.0,2,7.0,41,372,2223,2
1970.0,0,47350.38030731904,41,2376,1242,5
1970.0,0,47350.38030731904,41,2376,1242,5
1970.0,0,47350.38030731904,41,2376,1242,5
1970.0,0,47350.38030731904,46,2376,1242,5
1970.0,0,47350.38030731904,46,2376,1242,5
1970.0,1,47350.38030731904,48,2376,1242,12
1970.0,3,47350.38030731904,49,2376,1242,3
1970.0,1,47350.38030731904,55,2376,1242,12
1970.0,2,7.0,57,411,327,2
1970.0,0,47350.38030731904,57,2376,1242,5
1970.0,0,47350.38030731904,57,2376,1242,5
1970.0,3,47350.38030731904,63,2376,1242,3
1970.0,0,47350.38030731904,66,2376,1242,10
1970.0,0,47350.38030731904,66,2376,1242,10
1970.0,1,47350.38030731904,78,2376,1242,12
1970.0,0,47350.38030731904,86,2376,1242,5
1970.0,0,47350.38030731904,86,2376,1242,14
1970.0,0,47350.38030731904,86,2376,1242,14
1970.0,0,47350.38030731904,86,2376,1242,5
1970.0,0,47350.38030731904,87,2376,1242,5
1970.0,0,47350.38030731904,90,2376,1242,5
1970.0,2,5.0,89,2116,935,2
1971.0,2,8.0,39,262,290,2
1971.0,0,47350.38030731904,0,2376,1242,10
1971.0,0,47350.38030731904,0,2376,1242,1
1971.0,0,47350.38030731904,9,2376,1242,5
1971.0,1,47350.38030731904,9,2376,1242,12
1971.0,0,47350.38030731904,18,2376,1242,5
1971.0,1,47350.38030731904,15,2376,1242,12
1971.0,0,47350.38030731904,26,2376,1242,5
1971.0,0,47350.38030731904,26,2376,1242,5
1971.0,1,110.0,34,2376,1242,12
1971.0,0,47350.38030731904,34,2376,1242,11
